from_stop,AC,AF,AI,AJ,AK,AQ,AR,AX,AY,BC,BJ,BK,BP,BW,BZ,CG,CI,CN,CV,CZ,DF,DH,DL,DR,DS,DT,DV,DW,DY,DZ,EB,ED,EU,EW,FB,FF,FG,FJ,GE,GN,GT,HK,HO,HU,HV,HW,IF,IP,IR,IS,IW,IY,JG,JL,JN,JS,JY,KC,KF,KG,KI,KO,KT,KV,KX,KY,KZ,LB,LI,LM,LN,LP,LV,ME,MI,MK,MO,MQ,NA,NJ,NO,NQ,NY,OL,ON,OS,OY,PF,PK,PL,PN,PO,PP,PS,PT,QA,QF,QH,QM,QR,QU,QZ,RD,RK,RQ,RV,RY,SA,SC,SE,SH,SI,SJ,SM,SP,SW,SY,TB,TC,TG,TI,TL,TU,UG,UI,UJ,UL,UN,UP,UX,VR,VT,VY,WA,WF,WG,WZ,XD,XF,XH,XJ,XZ,YC,YQ,YR,ZF,ZJ,ZO,ZQ,ZR,ZV
AC,0.0,770.5,727.7,526.7,963.9,345.5,709.7,550.0,438.8,856.8,739.4,719.3,740.3,632.2,775.7,536.7,406.3,356.0,877.2,117.1,319.6,796.0,883.4,684.2,126.2,227.3,142.5,364.8,725.9,250.6,903.4,557.4,316.0,454.3,688.9,1003.1,653.2,661.7,238.5,413.1,231.8,833.6,214.7,742.9,199.2,923.0,583.1,548.5,463.8,804.3,380.0,364.3,323.4,722.9,439.9,695.0,340.4,945.5,355.5,707.7,803.0,851.5,532.0,767.1,205.9,403.7,460.7,777.2,536.2,931.7,398.6,730.6,920.0,314.1,458.1,244.0,715.2,176.4,394.5,416.1,798.1,582.2,913.3,628.8,324.3,22.9,337.6,244.0,398.5,390.7,402.2,779.1,564.3,390.6,101.5,586.9,784.2,144.5,877.3,748.1,1105.1,388.6,393.5,707.9,696.7,200.0,814.9,165.5,819.5,946.2,440.1,160.4,140.3,1109.1,742.5,149.3,99.6,620.5,862.0,801.6,678.2,225.1,714.0,966.5,1078.9,542.0,316.0,980.4,725.9,741.8,72.9,903.2,398.6,636.0,822.4,475.4,355.1,414.8,795.9,318.6,273.4,638.0,461.4,817.9,876.3,711.0,720.6,996.2,774.5,555.4,767.2
AF,875.4,0.0,265.9,866.6,497.3,685.4,351.8,889.9,778.7,390.2,272.8,85.0,208.1,224.3,334.9,266.3,865.0,695.9,410.6,896.5,907.6,394.9,416.8,276.3,794.6,808.9,810.9,823.5,1065.8,832.2,436.8,355.0,774.7,913.0,230.9,536.5,269.3,115.0,660.5,753.0,710.5,63.1,862.0,90.4,810.8,456.4,259.9,253.2,669.7,274.8,968.0,704.2,663.3,264.9,779.8,376.5,680.3,478.9,695.4,273.7,345.0,80.9,377.7,309.1,688.0,743.6,800.6,310.6,375.7,465.1,857.3,198.4,453.4,654.0,798.0,805.6,428.0,715.7,734.4,756.0,357.3,220.9,446.7,149.3,664.2,851.0,796.3,654.9,738.4,730.6,742.1,321.1,460.5,847.2,974.6,280.1,326.2,878.1,410.7,281.5,638.5,728.5,732.0,405.3,409.5,781.6,348.3,833.9,356.5,479.6,780.0,740.0,936.3,642.5,284.5,882.9,895.6,299.1,395.4,335.0,450.2,806.7,256.0,499.9,612.3,881.9,774.7,513.8,156.7,307.8,852.3,434.9,669.0,285.0,355.8,810.4,813.8,754.7,329.3,658.5,752.7,350.8,801.3,359.9,409.7,249.2,377.4,529.6,264.4,411.0,235.0
AI,813.2,228.1,0.0,791.1,519.6,609.9,153.0,814.4,703.2,412.5,295.1,176.9,318.2,187.9,445.0,190.8,789.5,620.4,432.9,744.9,832.1,505.0,439.1,239.9,690.1,813.5,673.8,748.0,990.3,836.8,459.1,465.1,699.2,837.5,341.0,558.8,70.5,119.3,770.6,677.5,635.0,291.2,764.6,200.5,785.4,478.7,184.4,179.1,594.2,384.9,892.5,628.7,587.8,375.0,704.3,177.7,604.8,501.2,619.9,74.9,455.1,309.1,487.8,419.2,612.5,668.1,725.1,332.9,485.8,487.4,781.8,308.5,475.7,578.5,722.5,830.2,538.1,640.2,658.9,680.5,467.4,137.9,469.0,86.4,588.7,788.8,720.8,765.0,662.9,655.1,666.6,431.2,570.6,773.8,874.9,274.7,436.3,721.9,433.0,303.8,660.8,653.0,657.9,515.4,519.6,786.2,370.6,705.9,466.6,501.9,704.5,746.6,816.3,664.8,394.6,726.7,833.4,100.3,417.7,357.3,560.3,811.3,366.1,522.2,634.6,806.4,699.2,536.1,183.5,109.0,757.8,458.9,777.8,86.2,378.1,739.8,738.3,679.2,351.6,583.0,864.8,460.9,725.8,470.0,432.0,11.6,178.6,551.9,374.5,521.1,345.1
AJ,576.8,884.0,841.2,0.0,1077.4,373.5,823.2,115.3,85.6,970.3,852.9,832.8,974.1,745.7,1100.9,650.2,553.1,384.0,990.7,508.5,595.7,1160.9,996.9,797.7,453.7,577.1,437.4,511.6,412.8,600.4,1016.9,907.2,462.8,601.1,996.9,1116.6,766.7,775.2,588.3,129.7,398.6,947.1,528.2,856.4,549.0,1036.5,696.6,662.0,577.3,1040.8,656.1,191.4,246.4,1030.9,467.9,808.5,182.2,1059.0,278.5,821.2,1111.0,965.0,881.8,1075.1,376.1,326.7,95.9,890.7,886.0,1045.2,545.4,964.4,1033.5,237.1,486.1,593.8,1065.0,403.8,422.5,444.1,1123.3,695.7,1026.8,742.3,201.8,552.4,484.4,593.8,321.5,313.7,248.7,1087.1,914.1,537.4,638.5,700.4,1092.2,485.5,990.8,861.6,1218.6,311.6,217.4,1057.7,1046.5,549.8,928.4,469.5,1122.5,1059.7,363.1,510.2,579.9,1222.6,1050.5,490.3,597.0,734.0,975.5,915.1,1028.0,574.9,1022.0,1080.0,1192.4,107.3,462.8,1093.9,839.4,855.3,521.4,1016.7,748.4,749.5,935.9,87.8,501.9,442.8,909.4,241.6,623.2,1023.3,489.4,1125.9,989.8,824.5,834.1,1109.7,1030.4,905.2,1001.0
AK,1031.7,456.1,496.3,1009.6,0.0,828.4,545.9,1032.9,921.7,235.8,215.3,368.8,546.2,308.9,673.0,409.3,1008.0,838.9,153.5,963.4,1050.6,733.0,114.8,364.8,908.6,1032.0,892.3,966.5,1208.8,1055.3,282.4,693.1,917.7,1056.0,569.0,382.1,447.4,412.1,935.5,896.0,853.5,519.2,983.1,488.6,1003.9,302.0,402.9,397.6,812.7,612.9,1111.0,847.2,806.3,603.0,922.8,531.2,823.3,324.5,838.4,501.9,683.1,537.1,646.7,647.2,831.0,886.6,943.6,230.4,713.8,310.7,1000.3,536.5,299.0,797.0,941.0,1048.7,766.1,858.7,877.4,899.0,695.4,363.9,292.3,397.4,807.2,1007.3,939.3,929.9,881.4,873.6,885.1,659.2,729.5,992.3,1093.4,423.1,664.3,940.4,256.3,207.1,484.1,871.5,876.4,743.4,747.6,1004.7,223.0,924.4,694.6,49.5,923.0,965.1,1034.8,488.1,622.6,945.2,1051.9,414.7,241.0,144.7,788.3,1029.8,594.1,2.5,457.9,1024.9,917.7,359.4,453.8,536.0,976.3,282.2,996.3,430.2,201.4,958.3,956.8,897.7,241.8,801.5,1029.7,688.9,944.3,698.0,255.3,479.6,556.8,375.2,602.5,680.0,573.1
AQ,295.4,602.6,559.8,358.8,796.0,0.0,541.8,382.1,270.9,688.9,571.5,551.4,692.7,464.3,819.5,368.8,240.5,29.1,709.3,227.1,314.3,879.5,715.5,516.3,172.3,297.2,156.0,199.0,558.0,319.0,735.5,625.8,150.2,255.9,715.5,835.2,485.3,493.8,306.9,245.2,117.2,665.7,246.8,575.0,267.6,755.1,415.2,380.6,295.9,759.4,374.7,196.4,155.5,749.5,97.3,527.1,172.5,777.6,187.6,539.8,829.6,683.6,600.4,793.7,94.7,235.8,292.8,609.3,604.6,763.8,200.2,683.0,752.1,146.2,112.5,312.4,783.6,122.4,67.6,70.5,841.9,414.3,745.4,460.9,156.4,271.0,87.0,312.4,230.6,222.8,234.3,805.7,632.7,224.8,357.1,419.0,810.8,204.1,709.4,580.2,937.2,220.7,225.6,776.3,765.1,268.4,647.0,188.1,841.1,778.3,272.2,228.8,298.5,941.2,769.1,208.9,315.6,452.6,694.1,633.7,746.6,293.5,740.6,798.6,911.0,374.1,117.6,812.5,558.0,573.9,240.0,735.3,467.0,468.1,654.5,307.5,156.7,69.2,628.0,150.7,341.8,741.9,134.5,844.5,708.4,543.1,552.7,828.3,749.0,623.8,719.6
AR,947.4,344.1,163.1,871.1,570.4,689.9,0.0,894.4,783.2,463.3,345.9,292.9,434.2,238.7,507.5,270.8,869.5,700.4,483.7,824.9,912.1,527.8,489.9,290.7,770.1,880.9,753.8,828.0,1070.3,904.2,509.9,427.0,779.2,917.5,457.0,609.6,150.5,235.3,732.5,757.5,715.0,407.2,844.6,316.5,882.8,529.5,189.6,259.1,674.2,500.9,972.5,708.7,667.8,491.0,784.3,24.6,684.8,552.0,699.9,88.0,535.6,425.1,554.5,524.8,692.5,748.1,805.1,383.7,447.7,538.2,861.8,424.5,526.5,658.5,802.5,877.6,447.0,720.2,738.9,760.5,529.9,188.7,519.8,202.4,668.7,923.0,800.8,726.9,742.9,735.1,746.6,512.6,586.8,853.8,954.9,121.6,552.3,801.9,483.8,354.6,711.6,733.0,737.9,439.7,428.5,853.6,421.4,785.9,551.3,552.7,784.5,812.0,896.3,715.6,510.6,806.7,967.6,180.3,468.5,408.1,522.2,878.7,482.1,573.0,685.4,886.4,779.2,586.9,299.5,68.4,837.8,509.7,741.0,166.2,428.9,819.8,818.3,759.2,402.4,663.0,826.7,347.5,805.8,586.0,482.8,146.4,34.3,602.7,490.5,637.1,461.1
AX,609.0,916.2,873.4,104.2,1109.6,405.7,855.4,0.0,117.8,1002.5,885.1,865.0,1006.3,777.9,1133.1,682.4,585.3,416.2,1022.9,540.7,627.9,1193.1,1029.1,829.9,485.9,609.3,469.6,543.8,464.0,632.6,1049.1,939.4,495.0,633.3,1029.1,1148.8,798.9,807.4,620.5,176.8,430.8,979.3,560.4,888.6,581.2,1068.7,728.8,694.2,609.5,1073.0,688.3,223.6,278.6,1063.1,500.1,840.7,214.4,1091.2,310.7,853.4,1143.2,997.2,914.0,1107.3,408.3,358.9,128.1,922.9,918.2,1077.4,577.6,996.6,1065.7,269.3,518.3,626.0,1097.2,436.0,454.7,476.3,1155.5,727.9,1059.0,774.5,234.0,584.6,516.6,626.0,353.7,345.9,280.9,1119.3,946.3,569.6,670.7,732.6,1124.4,517.7,1023.0,893.8,1250.8,343.8,249.6,1089.9,1078.7,582.0,960.6,501.7,1154.7,1091.9,395.3,542.4,612.1,1254.8,1082.7,522.5,629.2,766.2,1007.7,947.3,1060.2,607.1,1054.2,1112.2,1224.6,105.5,495.0,1126.1,871.6,887.5,553.6,1048.9,780.6,781.7,968.1,120.0,534.1,475.0,941.6,273.8,655.4,1055.5,521.6,1158.1,1022.0,856.7,866.3,1141.9,1062.6,937.4,1033.2
AY,491.1,798.3,755.5,87.8,991.7,287.8,737.5,111.1,0.0,884.6,767.2,747.1,888.4,660.0,1015.2,564.5,467.4,298.3,905.0,422.8,510.0,1075.2,911.2,712.0,368.0,491.4,351.7,425.9,447.6,514.7,931.2,821.5,377.1,515.4,911.2,1030.9,681.0,689.5,502.6,58.9,312.9,861.4,442.5,770.7,463.3,950.8,610.9,576.3,491.6,955.1,570.4,105.7,160.7,945.2,382.2,722.8,96.5,973.3,192.8,735.5,1025.3,879.3,796.1,989.4,290.4,241.0,38.8,805.0,800.3,959.5,459.7,878.7,947.8,151.4,400.4,508.1,979.3,318.1,336.8,358.4,1037.6,610.0,941.1,656.6,116.1,466.7,398.7,508.1,235.8,228.0,163.0,1001.4,828.4,451.7,552.8,614.7,1006.5,399.8,905.1,775.9,1132.9,225.9,131.7,972.0,960.8,464.1,842.7,385.8,1036.8,974.0,277.4,424.5,494.2,1136.9,964.8,404.6,511.3,648.3,889.8,829.4,942.3,489.2,936.3,994.3,1106.7,103.1,377.1,1008.2,753.7,769.6,435.7,931.0,662.7,663.8,850.2,52.3,416.2,357.1,823.7,155.9,537.5,937.6,403.7,1040.2,904.1,738.8,748.4,1024.0,944.7,819.5,915.3
BC,950.1,374.5,414.7,928.0,281.3,746.8,464.3,951.3,840.1,0.0,133.7,287.2,464.6,227.3,591.4,327.7,926.4,757.3,194.6,881.8,969.0,651.4,200.8,283.2,827.0,950.4,810.7,884.9,1127.2,973.7,74.0,611.5,836.1,974.4,487.4,173.7,365.8,330.5,853.9,814.4,771.9,437.6,901.5,407.0,922.3,93.6,321.3,316.0,731.1,531.3,1029.4,765.6,724.7,521.4,841.2,449.6,741.7,137.3,756.8,420.3,601.5,455.5,565.1,565.6,749.4,805.0,862.0,148.8,632.2,102.3,918.7,454.9,90.6,715.4,859.4,967.1,684.5,777.1,795.8,817.4,613.8,282.3,202.9,315.8,725.6,925.7,857.7,848.3,799.8,792.0,803.5,577.6,647.9,910.7,1011.8,341.5,582.7,858.8,69.1,125.5,275.7,789.9,794.8,661.8,666.0,923.1,129.8,842.8,613.0,263.6,841.4,883.5,953.2,279.7,541.0,863.6,970.3,333.1,32.6,119.0,706.7,948.2,512.5,283.9,249.5,943.3,836.1,226.4,372.2,454.4,894.7,149.2,914.7,348.6,40.2,876.7,875.2,816.1,160.2,719.9,948.1,607.3,862.7,616.4,46.9,398.0,475.2,166.8,520.9,598.4,491.5
