from_stop,AE,AF,AZ,BB,BT,DN,DZ,EN,EO,EQ,ER,EU,FA,FF,FH,FI,FZ,GX,GY,HV,HY,HZ,IC,IM,JD,JH,JW,JY,JZ,KC,KD,KE,KI,KO,KU,KV,LA,LN,MQ,MU,MV,NH,NN,OA,OM,OQ,OW,PI,PO,QC,QL,QU,QZ,RJ,RW,RZ,SI,SK,SP,SY,TB,TH,TN,TO,VE,VO,WY,XA,XF,XI,XO,YA,YF,YL,YM,ZA,ZX
AE,0.0,614.7,554.4,56.0,2139.2,579.7,315.7,202.0,295.5,656.8,644.0,550.1,642.9,593.6,553.5,588.3,564.7,601.5,581.3,616.3,541.8,627.7,230.6,313.1,580.8,683.3,584.3,271.0,635.5,520.7,638.2,659.7,661.2,264.0,681.3,522.0,504.0,503.4,263.3,679.2,625.4,540.6,513.6,551.2,504.8,251.9,482.4,606.2,681.4,320.5,623.3,629.2,513.4,572.6,637.7,681.6,584.4,597.1,591.1,580.0,629.3,548.8,167.2,665.8,662.1,625.3,510.5,637.3,520.0,268.3,119.2,631.9,521.0,554.2,368.5,702.6,326.9
AF,707.5,0.0,525.3,684.5,1920.6,576.1,563.5,626.0,678.7,643.0,640.4,276.5,639.3,122.1,191.8,353.9,226.2,531.3,115.8,371.7,302.0,256.9,613.8,545.4,242.3,672.4,257.1,504.5,264.7,567.9,299.7,43.1,651.6,506.5,673.5,488.7,387.7,464.1,483.6,609.0,14.9,373.0,393.1,311.4,265.0,635.1,366.1,371.8,611.2,568.3,619.7,153.5,142.5,178.9,162.0,666.9,416.8,258.6,313.3,539.9,553.1,196.5,584.8,662.2,51.5,617.5,235.2,298.8,490.9,514.5,641.3,208.9,224.7,544.6,747.5,675.7,584.9
AZ,549.4,223.2,0.0,561.3,2108.3,601.2,414.8,473.1,532.4,671.8,665.0,156.2,663.9,331.7,166.2,183.0,177.4,622.5,325.4,197.4,149.1,235.4,460.9,396.7,193.8,698.3,197.0,353.0,248.2,531.3,250.9,266.4,676.2,444.9,707.1,340.0,38.1,315.4,330.7,691.3,238.1,252.1,61.7,162.2,112.1,482.2,20.4,200.9,702.4,419.6,644.3,367.3,330.2,179.3,284.6,702.6,303.1,225.7,202.0,595.0,644.3,161.5,431.9,686.8,274.8,646.3,123.2,250.0,225.5,361.6,488.4,244.6,133.7,569.2,598.8,723.6,432.0
BB,164.5,591.5,531.2,0.0,2116.0,556.5,253.6,178.8,272.3,594.7,620.8,526.9,619.7,531.5,530.3,565.1,541.5,578.3,558.1,587.1,518.6,604.5,207.4,283.9,557.6,621.2,561.1,247.8,612.3,497.5,615.0,630.5,632.0,240.8,625.2,465.9,480.8,441.3,240.1,656.0,602.2,517.4,457.5,528.0,481.6,228.7,459.2,583.0,658.2,258.4,600.1,600.0,490.2,510.5,608.5,658.4,561.2,573.9,535.0,517.9,600.1,525.6,144.0,642.6,638.9,569.2,487.3,614.1,496.8,245.1,96.0,608.7,464.9,492.1,345.3,679.4,303.7
BT,2143.4,2142.6,2293.3,2155.3,0.0,2074.9,2114.3,2065.5,2124.8,2145.5,2138.7,2209.8,2137.6,2062.0,2131.7,2224.9,2166.1,2029.6,2055.7,2239.3,2241.9,2191.8,2053.3,2009.5,2182.5,2170.7,2197.0,2052.5,2204.6,2066.2,2239.6,2185.8,2149.9,2144.4,2176.0,2260.9,2313.6,2236.3,2030.2,2098.4,2157.5,2305.7,2337.2,2255.0,2204.9,2074.6,2295.9,2242.8,2109.5,2119.1,2118.0,2097.6,1987.8,2118.8,2106.1,2165.2,2356.7,2214.4,2255.6,2038.2,2051.4,2136.4,2024.3,2160.5,2194.2,2120.0,2175.1,2238.7,2279.1,2052.3,2232.1,2148.8,2164.6,2042.9,2191.2,2174.0,2131.5
DN,609.8,530.5,629.4,586.8,2118.4,0.0,448.1,528.3,581.0,68.2,63.7,600.1,62.6,443.4,515.4,677.5,549.8,123.0,439.4,700.0,625.6,580.5,516.1,345.6,565.9,97.0,580.7,387.2,588.3,259.5,623.3,569.5,72.6,389.2,98.7,597.5,601.7,572.9,366.3,90.5,541.2,615.6,608.5,635.0,588.6,537.4,579.6,695.4,118.8,456.3,43.0,481.3,371.5,503.0,487.5,101.3,659.4,582.2,641.1,160.8,103.9,520.1,487.1,85.5,577.9,42.7,558.8,622.4,595.0,388.4,543.6,532.5,546.0,200.4,651.7,122.3,467.6
DZ,331.6,425.1,333.2,338.3,1896.1,336.0,0.0,250.1,309.4,407.7,400.9,443.3,399.8,344.5,441.5,383.5,452.7,358.4,338.2,405.5,362.8,515.7,237.9,67.4,468.8,434.2,472.3,109.0,523.5,267.2,526.2,468.3,412.1,30.0,443.0,300.8,385.4,276.2,88.1,425.9,440.0,312.2,395.0,372.2,325.8,259.2,353.7,401.4,438.3,4.8,380.2,380.1,270.3,401.3,388.6,438.5,363.2,485.1,484.3,330.9,380.2,436.8,208.9,422.7,476.7,382.2,402.0,525.3,298.8,110.2,265.4,431.3,409.0,305.1,375.8,459.5,17.1
EN,377.2,464.3,410.7,389.1,1973.6,414.6,181.0,0.0,108.6,485.2,478.4,397.3,477.3,422.0,407.3,416.3,418.5,435.9,415.7,430.7,395.6,476.5,288.7,144.9,434.9,511.7,438.1,119.2,489.3,344.7,492.0,507.5,489.6,211.1,520.5,378.4,341.8,353.7,115.1,504.7,479.2,389.7,365.4,408.7,358.6,58.4,324.1,434.2,515.8,185.8,457.7,457.6,347.8,420.4,466.1,516.0,440.7,466.8,443.1,408.4,457.7,402.6,259.7,500.2,515.9,459.7,364.3,491.1,395.6,161.0,230.8,485.7,374.8,382.6,175.0,537.0,198.2
EO,289.5,548.4,454.9,266.5,2060.0,500.5,248.0,141.5,0.0,578.2,564.8,483.8,563.7,515.0,487.2,496.2,498.4,522.3,502.1,524.8,475.5,561.4,170.1,245.4,514.5,604.7,518.0,202.7,569.2,452.4,571.9,587.4,576.0,195.7,608.7,422.6,435.7,397.9,195.0,600.0,559.1,441.1,451.9,484.9,438.5,191.4,414.1,514.1,602.2,252.8,544.1,544.0,434.2,506.9,552.5,602.4,484.9,530.8,524.8,501.4,544.1,482.5,106.7,586.6,595.8,552.7,444.2,571.0,420.5,240.9,122.1,565.6,461.3,475.6,73.0,623.4,258.6
EQ,593.2,530.1,618.0,605.1,2107.0,152.5,439.0,516.9,576.2,0.0,52.3,603.9,51.2,449.5,519.2,681.3,553.6,173.2,443.2,703.3,629.4,584.3,504.7,334.2,569.7,65.3,584.5,377.2,592.1,250.4,627.1,573.3,42.8,377.8,35.2,585.7,589.8,561.0,354.9,139.4,545.0,604.2,599.4,642.5,592.4,526.0,568.2,699.2,169.0,443.8,93.2,485.1,375.3,506.3,493.6,69.6,648.0,584.1,644.9,147.4,156.4,523.9,475.7,95.2,581.7,95.2,562.6,626.2,602.9,377.0,532.2,536.3,552.1,189.0,642.6,172.5,456.2
